strain	accession	date	country
A/Boston/DOA50/2011	CY134577	2011-02-18	USA
A/Boston/DOA51/2011	CY111310	2011-02-18	USA
A/Boston/DOA52/2011	CY111318	2011-02-18	USA
A/Boston/DOA54/2011	CY134593	2011-02-22	USA
A/Boston/DOA55/2011	CY111326	2011-02-21	USA
A/Boston/DOA57/2011	CY111334	2011-02-23	USA
A/Boston/DOA60/2011	CY134601	2011-02-24	USA
A/Boston/DOA61/2011	CY111342	2011-02-24	USA
A/Boston/DOA63/2011	CY134609	2011-02-25	USA
A/Boston/DOA64/2011	CY111390	2011-02-26	USA
A/Boston/DOA66/2011	CY111350	2011-02-26	USA
A/Boston/DOA67/2011	CY111358	2011-02-28	USA
A/Boston/DOA68/2011	CY116715	2011-03-01	USA
A/Boston/DOA69/2011	CY111366	2011-03-02	USA
A/Boston/DOA71/2011	CY111382	2011-03-05	USA
A/Boston/DOA74/2011	CY117589	2011-03-09	USA
A/Boston/DOA75/2011	CY111478	2011-03-11	USA
A/Boston/DOA77/2011	CY111406	2011-03-13	USA
A/Boston/DOA78/2011	CY111414	2011-03-14	USA
A/Boston/DOA79/2011	CY111422	2011-03-12	USA
A/Boston/DOA80/2011	CY111430	2011-03-16	USA
A/Boston/DOA81/2011	CY111438	2011-03-17	USA
A/Boston/DOA82/2011	CY111446	2011-03-17	USA
A/Boston/DOA83/2011	CY117597	2011-03-21	USA
A/Boston/DOA85/2011	CY111454	2011-03-23	USA
A/Boston/DOA86/2011	CY111462	2011-03-29	USA
A/Boston/DOA87/2011	CY111470	2011-04-25	USA
A/Boston/DOA94/2012	CY125791	2012-04-19	USA
A/California/03/2011	KC882483	2011-01-03	USA
A/California/05/2011	KC883183	2011-01-03	USA
A/California/07/2012	KC893075	2012-01-10	USA
A/California/08/2008	FJ532078	2008-09-09	USA
A/California/09/2008	FJ532080	2008-08-30	USA
A/California/10/2008	GQ369809	2008-12-20	USA
A/California/10/2010	KC535428	2010-05-07	USA
A/California/12/2008	GQ895000	2008-12-03	USA
A/California/13/2011	KC882902	2011-01-15	USA
A/California/16/2010	KC535295	2010-07-23	USA
A/California/16/2011	KC882908	2011-01-16	USA
A/California/17/2010	KC883270	2010-08-30	USA
A/California/18/2010	KC882651	2010-09-03	USA
A/California/18/2011	KC883338	2011-02-01	USA
A/California/18/2012	KC892364	2012-01-18	USA
A/California/19/2010	KC883292	2010-10-05	USA
A/California/20/2012	KC892367	2012-02-01	USA
A/California/22/2011	KC883093	2011-03-25	USA
A/California/22/2012	KC892829	2012-02-20	USA
A/California/23/2011	KC892985	2011-07-31	USA
A/California/24/2012	KC892850	2012-03-21	USA
A/California/25/2010	KC882777	2010-11-13	USA
A/California/28/2010	KC882784	2010-12-08	USA
A/California/30/2007	EU516067	2007-11-01	USA
A/California/3000/2012	CY120885	2012-03-29	USA
A/California/33/2007	EU516212	2007-12-10	USA
A/California/33/2011	KC892655	2011-10-26	USA
A/California/34/2010	KC882482	2010-12-14	USA
A/California/34/2011	KC892638	2011-11-24	USA
A/California/35/2007	EU516211	2007-12-18	USA
A/California/35/2011	KC892641	2011-12-01	USA
A/California/NHRC0001/2003	CY090941	2003-11-13	USA
A/California/NHRC0001/2005	CY091013	2005-11-30	USA
A/California/NHRC0001/2006	CY091053	2006-02-21	USA
A/California/NHRC0001/2007	CY092241	2007-03-19	USA
A/California/NHRC0001/2011	CY091581	2011-01-14	USA
A/California/NHRC0002/2003	CY091221	2003-12-16	USA
A/California/NHRC0002/2005	CY091429	2005-02-07	USA
A/California/NHRC0002/2007	CY092249	2007-04-30	USA
A/California/NHRC0002/2011	CY092281	2011-01-16	USA
A/California/NHRC0003/2003	CY091173	2003-12-17	USA
A/California/NHRC0003/2005	CY091501	2005-10-25	USA
A/California/NHRC0003/2011	CY092265	2011-01-28	USA
A/California/NHRC0004/2003	CY091213	2003-12-19	USA
A/California/NHRC0004/2005	CY091509	2005-11-02	USA
A/California/NHRC0004/2011	CY092273	2011-01-28	USA
A/California/NHRC0005/2005	CY091517	2005-11-29	USA
A/California/NHRC0006/2003	CY091461	2003-12-10	USA
A/California/NHRC0006/2005	CY091525	2005-12-02	USA
A/California/NHRC0007/2005	CY091533	2005-11-15	USA
A/California/NHRC0008/2005	CY091541	2005-12-05	USA
A/California/NHRC0009/2005	CY091549	2005-02-07	USA
A/California/NHRC0010/2005	CY092257	2005-02-08	USA
A/California/UR06_0118/2007	CY025739	2007-01-29	USA
A/California/UR06_0347/2007	CY025421	2007-02-19	USA
A/California/UR06_0463/2007	CY027579	2007-02-28	USA
A/California/UR06_0547/2007	CY026243	2007-03-06	USA
A/California/UR06_0565/2007	CY026787	2007-03-07	USA
A/California/UR06_0588/2007	CY031563	2007-03-12	USA
A/California/UR06_0589/2007	CY026195	2007-03-13	USA
A/California/UR07_0017/2008	CY038791	2008-02-13	USA
A/California/UR07_0019/2008	CY037503	2008-02-13	USA
A/California/UR07_0053/2008	CY037543	2008-02-19	USA
A/California/UR07_0063/2008	CY037863	2008-02-19	USA
A/California/UR07_0067/2008	CY038815	2008-02-20	USA
A/California/UR07_0076/2008	CY038839	2008-02-21	USA
A/California/VRDL136/2009	CY064815	2009-04-26	USA
A/California/VRDL143/2009	CY064847	2009-04-27	USA
A/California/VRDL144/2009	CY064855	2009-04-27	USA
A/California/VRDL147/2009	CY064879	2009-04-28	USA
A/California/VRDL156/2009	CY066519	2009-04-28	USA
A/California/VRDL158/2009	CY064887	2009-04-27	USA
A/California/VRDL159/2009	CY068137	2009-04-28	USA
A/California/VRDL160/2009	CY068145	2009-04-28	USA
A/California/VRDL164/2009	CY068161	2009-04-28	USA
A/California/VRDL166/2009	CY068177	2009-04-28	USA
A/California/VRDL168/2009	CY068185	2009-04-29	USA
A/California/VRDL169/2009	CY068193	2009-04-28	USA
A/California/VRDL170/2009	CY068201	2009-04-28	USA
A/California/VRDL172/2009	CY068209	2009-04-28	USA
A/California/VRDL176/2009	CY067921	2009-04-27	USA
A/California/VRDL177/2009	CY067929	2009-04-28	USA
A/California/VRDL178/2009	CY068678	2009-04-28	USA
A/California/VRDL181/2009	CY068686	2009-04-28	USA
A/California/VRDL182/2009	CY092329	2009-04-28	USA
A/California/VRDL183/2009	CY068694	2009-04-27	USA
A/California/VRDL184/2009	CY068702	2009-04-28	USA
A/California/VRDL185/2009	CY068710	2009-04-29	USA
A/California/VRDL188/2009	CY068225	2009-04-29	USA
A/California/VRDL196/2009	CY068726	2009-04-29	USA
A/California/VRDL197/2009	CY092353	2009-04-29	USA
A/California/VRDL198/2009	CY068734	2009-04-28	USA
A/California/VRDL199/2009	CY068742	2009-04-28	USA
A/California/VRDL201/2009	CY068750	2009-04-29	USA
A/California/VRDL203/2009	CY068758	2009-04-28	USA
A/California/VRDL204/2009	CY068766	2009-04-28	USA
A/California/VRDL205/2009	CY068774	2009-04-29	USA
A/California/VRDL207/2009	CY068782	2009-04-27	USA
A/California/VRDL208/2009	CY068790	2009-04-29	USA
A/California/VRDL210/2009	CY068798	2009-04-28	USA
A/California/VRDL212/2009	CY068241	2009-04-29	USA
A/California/VRDL233/2009	CY068273	2009-04-29	USA
A/California/VRDL241/2009	CY067197	2009-04-29	USA
A/California/VRDL242/2009	CY092361	2009-04-29	USA
A/California/VRDL243/2009	CY068281	2009-04-29	USA
A/California/VRDL246/2009	CY068806	2009-04-29	USA
A/California/VRDL247/2009	CY068289	2009-04-29	USA
A/California/VRDL248/2009	CY068297	2009-04-27	USA
A/California/VRDL250/2009	CY068305	2009-04-29	USA
A/California/VRDL253/2009	CY068313	2009-04-30	USA
A/California/VRDL255/2009	CY092369	2009-04-29	USA
A/California/VRDL257/2009	CY092377	2009-05-01	USA
A/California/VRDL259/2009	CY068321	2009-04-29	USA
A/California/VRDL260/2009	CY068329	2009-05-01	USA
A/California/VRDL262/2009	CY068345	2009-03-30	USA
A/California/VRDL263/2009	CY068353	2009-04-30	USA
A/California/VRDL265/2009	CY068361	2009-04-01	USA
A/California/VRDL268/2009	CY068377	2009-04-30	USA
A/California/VRDL269/2009	CY068814	2009-04-30	USA
A/California/VRDL271/2009	CY068385	2009-04-30	USA
A/California/VRDL274/2009	CY068401	2009-04-30	USA
A/California/VRDL277/2009	CY068409	2009-04-30	USA
A/California/VRDL278/2009	CY068417	2009-04-30	USA
A/California/VRDL285/2009	CY068433	2009-04-30	USA
A/California/VRDL286/2009	CY067937	2009-04-30	USA
A/California/VRDL288/2009	CY067953	2009-04-30	USA
A/California/VRDL291/2009	CY067205	2009-05-01	USA
A/California/VRDL293/2009	CY068441	2009-04-30	USA
A/California/VRDL294/2009	CY068449	2009-04-30	USA
A/California/VRDL296/2009	CY067213	2009-04-30	USA
A/California/VRDL302/2009	CY067221	2009-04-28	USA
A/California/VRDL304/2009	CY067229	2009-05-07	USA
A/California/VRDL305/2009	CY068457	2009-05-01	USA
A/California/VRDL309/2009	CY068473	2009-05-02	USA
A/California/VRDL310/2009	CY068481	2009-04-30	USA
A/California/VRDL313/2009	CY068497	2009-05-01	USA
A/California/VRDL315/2009	CY068505	2009-05-01	USA
A/California/VRDL316/2009	CY067253	2009-05-04	USA
A/California/VRDL317/2009	CY068513	2009-05-06	USA
A/California/VRDL318/2009	CY068521	2009-05-06	USA
A/California/VRDL319/2009	CY068529	2009-05-06	USA
A/California/VRDL321/2009	CY068537	2009-05-04	USA
A/California/VRDL322/2009	CY068545	2009-05-04	USA
A/California/VRDL327/2009	CY068561	2009-05-11	USA
A/California/VRDL328/2009	CY067961	2009-05-09	USA
A/California/VRDL329/2009	CY068569	2009-05-09	USA
A/California/VRDL330/2009	CY070919	2009-05-09	USA
A/California/VRDL331/2009	CY068577	2009-05-11	USA
A/California/VRDL332/2009	CY068585	2009-05-11	USA
A/California/VRDL333/2009	CY068593	2009-05-06	USA
A/California/VRDL334/2009	CY068601	2009-05-18	USA
A/California/VRDL335/2009	CY068609	2009-05-03	USA
A/California/VRDL336/2009	CY068617	2009-05-05	USA
A/California/VRDL338/2009	CY068625	2009-05-18	USA
A/California/VRDL339/2009	CY067969	2009-05-04	USA
A/California/VRDL340/2009	CY067977	2009-05-04	USA
A/California/VRDL342/2009	CY067985	2009-05-20	USA
A/California/VRDL343/2009	CY067993	2009-05-11	USA
A/California/VRDL344/2009	CY068001	2009-05-19	USA
A/California/VRDL347/2009	CY072190	2009-05-23	USA
A/California/VRDL349/2009	CY068017	2009-05-26	USA
A/California/VRDL351/2009	CY068025	2009-05-23	USA
A/California/VRDL354/2009	CY068041	2009-05-26	USA
A/California/VRDL355/2009	CY068049	2009-05-11	USA
A/California/VRDL356/2009	CY077425	2009-06-02	USA
A/California/VRDL357/2009	CY068057	2009-06-05	USA
A/California/VRDL359/2009	CY089540	2009-06-08	USA
A/California/VRDL360/2009	CY068065	2009-06-03	USA
A/California/VRDL361/2009	CY068073	2009-06-23	USA
A/California/VRDL362/2009	CY068081	2009-08-11	USA
A/California/VRDL368/2009	CY068097	2009-04-27	USA
A/California/VRDL374/2009	CY068113	2009-04-25	USA
A/California/VRDL375/2009	CY068121	2009-04-27	USA
A/California/VRDL381/2009	CY068822	2009-04-27	USA
A/California/VRDL383/2009	CY068830	2009-04-26	USA
A/California/VRDL384/2009	CY068838	2009-04-25	USA
A/California/VRDL385/2009	CY072198	2009-04-26	USA
A/California/VRDL386/2009	CY072206	2009-04-26	USA
A/California/VRDL387/2009	CY068846	2009-04-27	USA
A/California/VRDL390/2009	CY068854	2009-04-26	USA
A/California/VRDL391/2009	CY068862	2009-04-28	USA
A/California/VRDL392/2009	CY068870	2009-04-28	USA
A/California/VRDL393/2009	CY068878	2009-04-29	USA
A/California/VRDL394/2009	CY068633	2009-04-28	USA
A/California/VRDL396/2009	CY068129	2009-04-28	USA
A/Cambodia/NHRCC00002/2009	CY081470	2009-10-14	Cambodia
A/Cambodia/NHRCC00003/2009	CY081430	2009-10-14	Cambodia
A/Cambodia/NHRCC00004/2009	CY081558	2009-10-14	Cambodia
A/Cambodia/NHRCC00008/2009	CY081446	2009-10-14	Cambodia
A/Cambodia/NHRCC00010/2009	CY081454	2009-10-15	Cambodia
A/Cambodia/NHRCC00011/2009	CY082992	2009-10-15	Cambodia
A/Cambodia/V0902310/2011	KC020358	2011-08-24	Cambodia
A/Cambodia/V1005380/2011	KC020359	2011-10-03	Cambodia
A/Cambodia/V1013305/2011	KC020360	2011-10-10	Cambodia
A/Cambodia/V1116330/2011	KC020362	2011-11-06	Cambodia
A/Canterbury/03/2005	CY007811	2005-03-06	New Zealand
A/Canterbury/04/2002	CY008003	2002-04-12	New Zealand
A/Canterbury/06/2001	CY009948	2001-04-17	New Zealand
A/Canterbury/06/2002	CY008260	2002-04-19	New Zealand
A/Canterbury/07/2001	CY009556	2001-05-09	New Zealand
A/Canterbury/09/2002	CY008268	2002-04-11	New Zealand
A/Canterbury/100/2004	CY007419	2004-09-10	New Zealand
A/Canterbury/101/2000	CY008844	2000-10-31	New Zealand
A/Canterbury/101/2004	CY007427	2004-09-09	New Zealand
A/Canterbury/102/2002	CY007787	2002-05-23	New Zealand
A/Canterbury/102/2004	CY007435	2004-09-09	New Zealand
A/Canterbury/103/2000	CY008836	2000-11-29	New Zealand
A/Canterbury/104/2004	CY007451	2004-09-07	New Zealand
A/Canterbury/104/2005	CY008356	2005-06-27	New Zealand
A/Canterbury/105/2004	CY007459	2004-09-07	New Zealand
A/Canterbury/105/2005	CY008556	2005-06-27	New Zealand
A/Canterbury/107/2004	CY007475	2004-09-12	New Zealand
A/Canterbury/108/2004	CY007987	2004-09-12	New Zealand
A/Canterbury/109/2004	CY007995	2004-09-12	New Zealand
A/Canterbury/11/2004	CY007339	2004-08-04	New Zealand
A/Canterbury/12/2004	CY007347	2004-08-05	New Zealand
A/Canterbury/125/2005	CY009932	2005-06-29	New Zealand
A/Canterbury/127/2005	CY008067	2005-07-02	New Zealand
A/Canterbury/129/2005	CY008075	2005-07-03	New Zealand
A/Canterbury/14/2002	CY007843	2002-05-02	New Zealand
A/Canterbury/140/2001	CY009588	2001-08-10	New Zealand
A/Canterbury/146/2001	CY009852	2001-08-06	New Zealand
A/Canterbury/15/2002	CY008284	2002-05-03	New Zealand
A/Canterbury/16/2005	CY007955	2005-05-20	New Zealand
A/Canterbury/17/2004	CY007363	2004-08-13	New Zealand
A/Canterbury/179/1999	CY009108	1999-12-17	New Zealand
A/Canterbury/18/2004	CY007371	2004-08-15	New Zealand
A/Canterbury/186/2005	CY008364	2005-07-11	New Zealand
A/Canterbury/19/2004	CY007379	2004-08-17	New Zealand
A/Canterbury/2/2000	CY009116	2000-01-20	New Zealand
A/Canterbury/20/2002	CY007859	2002-05-06	New Zealand
A/Canterbury/20/2004	CY007387	2004-08-18	New Zealand
A/Canterbury/20/2005	CY008340	2005-05-24	New Zealand
A/Canterbury/200/2004	CY096843	2004-09-16	New Zealand
A/Canterbury/201/2004	CY007483	2004-09-16	New Zealand
A/Canterbury/205/2005	CY008564	2005-07-22	New Zealand
A/Canterbury/207/2004	CY007515	2004-09-21	New Zealand
A/Canterbury/208/2004	CY007523	2004-09-22	New Zealand
A/Canterbury/209/2004	CY007531	2004-09-23	New Zealand
A/Canterbury/21/2002	CY008019	2002-05-07	New Zealand
A/Canterbury/21/2004	CY007395	2004-08-18	New Zealand
A/Canterbury/210/2004	CY007539	2004-09-22	New Zealand
A/Canterbury/232/2005	CY013240	2005-07-16	New Zealand
A/Canterbury/235/2005	CY008396	2005-07-28	New Zealand
A/Canterbury/236/2005	CY008404	2005-07-31	New Zealand
A/Canterbury/24/2004	CY007411	2004-08-11	New Zealand
A/Canterbury/24/2005	CY008043	2005-05-04	New Zealand
A/Canterbury/248/2005	CY008588	2005-08-03	New Zealand
A/Canterbury/250/2005	CY010084	2005-08-16	New Zealand
A/Canterbury/251/2005	CY008596	2005-08-17	New Zealand
A/Canterbury/253/2005	CY008604	2005-08-22	New Zealand
A/Canterbury/256/2005	CY008620	2005-08-31	New Zealand
A/Canterbury/257/2005	CY008628	2005-08-31	New Zealand
A/Canterbury/258/2005	CY008636	2005-08-16	New Zealand
A/Canterbury/26/2005	CY009028	2005-05-25	New Zealand
A/Canterbury/260/2005	CY008436	2005-09-02	New Zealand
A/Canterbury/266/2005	CY008644	2005-06-18	New Zealand
A/Canterbury/270/2005	CY008652	2005-08-31	New Zealand
A/Canterbury/3/2000	CY009100	2000-05-05	New Zealand
A/Canterbury/303/2004	CY007547	2004-09-25	New Zealand
A/Canterbury/304/2004	CY007555	2004-10-04	New Zealand
A/Canterbury/305/2004	CY008220	2004-10-04	New Zealand
A/Canterbury/308/2004	CY008228	2004-10-06	New Zealand
A/Canterbury/309/2004	CY008236	2004-10-06	New Zealand
A/Canterbury/31/2002	CY007883	2002-06-20	New Zealand
