strain	branch_length	cTiter	cTiterSub	cTiterSub_x	clade_membership	clock_length	country	country_entropy	dTiter	dTiterSub	date	delta_frequency	dms_star	ep	ep_x	lbi	mutation_length	ne	ne_star	numdate	raw_date	rb	region	region_entropy	is_terminal	timepoint	lineage	segment	frequency	naive	weighted_distance_to_future	weighted_distance_to_present	log2_distance_effect
A/Canterbury/3/2005	0.002527452572855721	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.002527452572855721	new_zealand	-1.000088900581841e-12	0	0.0	2005-03-06	-1.02907174434847	-0.4105173467148055	-0.32380964517520466	-0.9491660215904963	-0.09387312636059207	0.0011698624010381925	8	-0.3416353281005056	2005.177960301164	2005-03-06	5	oceania	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.121029	0.0	5.874843	3.070597	0.9360311189758159
A/Hanoi/ISBM16/2005	0.002275701200432377	0.09927624451610888	-0.1548099968948421	-0.8611165740628027	4ff1302	0.002275701200432377	vietnam	-9.99866855976916e-13	0	0.0	2005-03-23	-0.4924552769519239	0.5568542929301948	-1.0597406569370342	-1.5494167433891426	-0.4914201594819149	9.083151337190906e-18	6	-1.29062235060191	2005.227241615332	2005-03-24	4	southeast_asia	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.169468	0.0	6.8748439999999995	3.279908	1.0676716286519028
A/HongKong/HKU40/2004	0.0015060433060885628	0.09927624451610888	-0.1548099968948421	-0.8611165740628027	4ff1302	0.0015060433060885628	hong_kong	-1.000088900581841e-12	0	0.0	2004-11-23	-0.4924552769519239	-1.8293290848608064	-1.0597406569370342	-1.3584584271518658	-0.6772931182501075	0.0023425017788895447	10	2.5053257394037067	2004.8980150581792	2004-11-23	5	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	2.3e-05	0.0	10.397547999999999	6.470744000000001	0.6842398385891965
A/HongKong/HKU42/2005	0.001819555546729766	0.09927624451610888	-0.15480988500413742	-0.8611165740628027	4ff1302	0.001819555546729766	hong_kong	-9.99866855976916e-13	0	9.03697845505857e-08	2005-01-06	-0.4924552769519239	0.02626560573096732	-0.32380964517520466	-0.7720451324408901	-0.8767822836843873	0.001756091789322652	9	1.5563387169023029	2005.0164271047229	2005-01-06	5	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.0034509999999999996	0.0	10.790524	6.648419	0.6986817130860578
A/HongKong/HKU44/2005	0.002281878915775831	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.002281878915775831	hong_kong	-1.000088900581841e-12	0	0.0	2005-02-28	-1.02907174434847	-0.4574202140915328	1.1480523783484546	0.1492775126265764	-0.12504292373481488	0.002340709966388506	9	0.6073516944008986	2005.1615331964408	2005-02-28	6	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.100087	0.0	6.681595	5.2450600000000005	0.34923326104781705
A/HongKong/HKU48/2005	0.0005533196440797167	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0005533196440797167	hong_kong	-1.000088900581841e-12	0	0.0	2005-04-01	-1.02907174434847	0.7855057713917404	0.41212136658662496	-0.38033752685588507	-0.19171962323091835	9.09951807555026e-18	7	-0.3416353281005056	2005.2491444216287	2005-04-01	6	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.175903	0.0	3.8294399999999995	3.2989349999999997	0.2151330820829389
A/Malaysia/31944/2005	0.0	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0	malaysia	-1.000088900581841e-12	0	0.0	2005-02-13	-1.02907174434847	0.7855057713917404	0.41212136658662496	-0.38033752685588507	0.2403178490009357	9.09951807555026e-18	7	-0.3416353281005056	2005.120465434633	2005-02-13	6	southeast_asia	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.052504999999999996	0.0	3.8294399999999995	3.2989349999999997	0.2151330820829389
A/Morioka/38/2005	0.0024634496919918518	0.09927624451610888	-0.1548099968948421	-0.8611165740628027	4ff1302	0.0024634496919918518	japan	-1.000088900581841e-12	0	0.0	2005-03-15	-0.4924552769519239	0.7180828995376949	-1.0597406569370342	-1.3584584271518658	-0.4971912988743857	0.0017571616973354144	8	0.6073516944008986	2005.2053388090344	2005-03-16	5	japan_korea	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.152362	0.0	8.874846000000002	4.683826	0.9220346034928186
A/NewYork/355/2004	0.0005839261588240912	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0005839261588240912	usa	-9.99866855976916e-13	0	0.0	2004-11-02	-1.02907174434847	-0.7916031441507146	0.41212136658662496	-0.4263923889094823	0.7025823512381182	0.0005847087850980181	7	-1.29062235060191	2004.8377823408625	2004-11-01	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	1e-06	0.0	5.874843	2.976929	0.9807254838480847
A/NewYork/361/2005	0.0030651551099716914	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0030651551099716914	usa	-1.000088900581841e-12	0	0.0	2005-02-02	-1.02907174434847	-0.44569449724735105	-0.32380964517520466	-0.9491660215904963	-0.8402741111990087	0.0023418372806135305	7	0.6073516944008986	2005.090349075976	2005-02-02	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.028031999999999998	0.0	5.908968	4.200526	0.49233618906497906
A/NewYork/380/2004	0.0015352618356371734	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0015352618356371734	usa	-1.000088900581841e-12	0	0.0	2004-12-26	-1.02907174434847	0.2988885223581947	0.41212136658662496	-0.3775272644744075	-0.6770379044049396	0.001754734078331519	7	-1.29062235060191	2004.9883641341544	2004-12-26	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.001268	0.0	5.874843	3.310119	0.827667214055585
A/NewYork/382/2005	0.006743203362776104	0.761377859798051	-0.15481013109986674	-1.3358596430847305	d3a707a	0.006743203362776104	usa	-1.000088900581841e-12	0	0.0	2005-01-29	-0.9413212243820388	-0.07633441665562365	-0.32380964517520466	-0.919428027667666	-1.7680471036478815	0.007633215389108844	8	0.6073516944008986	2005.0793976728269	2005-01-29	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.021601	0.0	9.638974999999999	6.442582	0.5812407451492588
A/NewYork/393/2005	0.0022468282806578713	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0022468282806578713	usa	-1.000088900581841e-12	0	0.0	2005-03-22	-1.02907174434847	-0.7916031441507146	0.41212136658662496	-0.4263923889094823	-0.13398758697557098	0.0011707041961411823	7	-1.29062235060191	2005.2245037645446	2005-03-23	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.16786199999999998	0.0	5.874843	2.976929	0.9807254838480847
A/Canterbury/242/2005	4.741044167567293e-05	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	4.741044167567293e-05	new_zealand	-1.000088900581841e-12	0	0.0	2005-07-31	1.8679856276683875	0.5568542929301948	0.41212136658662496	-1.8187726924817924	1.2195293226232071	8.751356364544501e-18	7	-1.29062235060191	2005.583162217659	2005-08-01	6	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.043988	0.0	3.250108	2.7971309999999994	0.21653983706438526
A/Canterbury/26/2005	0.0	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0	new_zealand	-1.000088900581841e-12	0	0.0	2005-05-24	1.8679856276683875	0.3282028144686493	1.1480523783484546	-1.1871856687236242	0.5945423625493039	8.738395043978136e-18	8	-0.3416353281005056	2005.396988364134	2005-05-25	6	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	4.1e-05	0.0	5.250106000000001	4.7960449999999994	0.13050135594948128
A/Canterbury/260/2005	0.0022543577872615184	2.221435282694542	1.2710271511839302	-3.860239933675965	7aa732d	0.0022543577872615184	new_zealand	-1.000088900581841e-12	0	0.0	2005-09-01	-1.6743225540888471	0.14645420338383106	1.1480523783484546	-1.1165315000122709	0.369291199385785	0.002339342490033596	10	-0.3416353281005056	2005.6707734428478	2005-09-02	5	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.20795999999999998	0.0	9.227726	6.402813	0.527269291183404
A/Canterbury/34/2005	0.0001530458590011663	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0001530458590011663	new_zealand	-1.000088900581841e-12	0	0.0	2005-06-07	1.8679856276683875	0.3282028144686493	1.1480523783484546	-1.1871856687236242	0.4164803618415695	8.738395043978136e-18	8	-0.3416353281005056	2005.432580424367	2005-06-07	6	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.00022999999999999998	0.0	5.250106000000001	4.7960449999999994	0.13050135594948128
A/HongKong/CUHK12107/2005	0.0005767282683087628	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0005767282683087628	hong_kong	-9.99866855976916e-13	0	0.0	2005-05-02	1.8679856276683875	0.5568542929301948	0.41212136658662496	-1.8187726924817924	1.804309987882165	8.751356364544501e-18	7	-1.29062235060191	2005.3367556468168	2005-05-03	6	china	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	1e-06	0.0	3.250108	2.7971309999999994	0.21653983706438526
A/HongKong/NHRC0001/2005	0.002084319364934896	2.221435282694542	1.2710271511839302	-3.898633080410741	9b04f13	0.002084319364934896	hong_kong	-1.000088900581841e-12	0	0.0	2005-06-15	1.8679856276683875	0.4278714076441948	0.41212136658662496	-1.8187726924817924	0.3130397182244161	0.003515017847779378	7	-0.3416353281005056	2005.454483230664	2005-06-15	6	china	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.000605	0.0	4.250107	3.7956899999999996	0.16313699277569735
A/NewYork/1000/2005	0.00038882043483122464	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.00038882043483122464	usa	-1.000088900581841e-12	0	0.0	2005-08-29	1.8679856276683875	0.5568542929301948	0.41212136658662496	-1.8187726924817924	0.8097106743262671	8.751356364544501e-18	7	-1.29062235060191	2005.6625598904861	2005-08-30	6	north_america	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.188426	0.0	3.250108	2.7971309999999994	0.21653983706438526
A/Quebec/26-070605/2005	0.0011656428421897085	2.221435282694542	-0.15480999689484098	-3.820253992057358	44989e1	0.0011656428421897085	canada	-1.000088900581841e-12	0	0.0	2005-06-07	-1.862525381615024	-1.345643265038306	-0.32380964517520466	-2.4941049848719805	-1.7136568518717936	8.717553712869012e-18	8	0.6073516944008986	2005.432580424367	2005-06-07	5	north_america	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.00022999999999999998	0.0	8.250103000000001	6.657801	0.3093663817448857
A/TayNguyen/TN335/2005	0.001076929287984911	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.001076929287984911	vietnam	-1.000088900581841e-12	0	0.0	2005-06-13	1.8679856276683875	1.0170886790643314	1.8839833901102845	-0.5999788717231641	1.0645074539677024	0.0017563115528524214	7	-1.29062235060191	2005.4517453798767	2005-06-14	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.000538	0.0	5.250106000000001	4.149738999999999	0.33932595092907936
A/TayNguyen/TN346/2005	0.0018158480083925801	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0018158480083925801	vietnam	-1.000088900581841e-12	0	0.0	2005-07-31	1.8679856276683875	-1.4716947211132605	0.41212136658662496	-1.8187726924817924	0.21976975362742754	0.001755490928447694	8	-0.3416353281005056	2005.583162217659	2005-08-01	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.043988	0.0	4.250107	3.709154	0.19640899456448965
A/TayNguyen/TN363/2005	0.003971448131283251	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.003971448131283251	vietnam	-1.000088900581841e-12	0	0.0	2005-08-18	1.8679856276683875	1.3307516046461951	0.41212136658662496	-1.8187726924817924	-1.0817161586681758	0.003517297045773005	9	0.6073516944008986	2005.6297056810406	2005-08-18	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.115228	0.0	5.250106000000001	4.3362169999999995	0.27590959500241086
A/TayNguyen/TN388/2005	0.00230129615999132	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.00230129615999132	vietnam	-1.000088900581841e-12	0	0.0	2005-09-26	1.8679856276683875	1.3747230428118768	1.1480523783484546	-1.187777722274734	0.7206731867548136	0.0005848871212998662	7	-1.29062235060191	2005.7364818617386	2005-09-26	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.322619	0.0	4.250107	3.150816	0.43177365583262384
A/Waikato/7/2005	0.001983584344414348	2.221435282694542	1.2710271511839302	-3.860239933675965	7aa732d	0.001983584344414348	new_zealand	-9.99866855976916e-13	0	0.0	2005-08-10	-1.6743225540888471	0.313545668413422	1.1480523783484546	-1.1165315000122709	-0.4051670257288788	0.0017570308433463426	9	-1.29062235060191	2005.607802874744	2005-08-10	5	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.076145	0.0	8.227727	5.818734	0.499788629688954
A/HongKong/CUHK53004/2006	0.0032219630915665265	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.0032219630915665265	hong_kong	-1.000088900581841e-12	0	0.0	2006-03-04	-0.8287681601876534	-1.4511747166359419	1.1480523783484546	-3.2194197237962117	0.2752335626755075	0.002342865775677879	7	-1.29062235060191	2006.1724845995893	2006-03-04	6	china	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.10725599999999999	0.0	8.528507999999999	4.614929	0.8859849222966869
A/Malaysia/33386/2005	0.00032176669015319265	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.00032176669015319265	malaysia	-1.000088900581841e-12	0	0.0	2005-12-29	-0.8287681601876534	0.5861685850406494	1.1480523783484546	-3.26194647000334	-1.2327182381014763	0.0005849038184887995	7	-1.29062235060191	2005.996577686516	2005-12-30	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.0016170000000000002	0.0	7.892565000000001	4.826206999999999	0.7096044417836641
A/Malaysia/33464/2006	0.00046598298036557023	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.00046598298036557023	malaysia	-1.000088900581841e-12	0	0.0	2006-01-11	-0.8287681601876534	0.5568542929301948	0.41212136658662496	-3.9853903013601584	-1.2823009242712389	1.1081618090430255e-17	7	-1.29062235060191	2006.0301163586585	2006-01-11	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.005075	0.0	7.528510000000002	3.8294399999999995	0.9752309287572025
A/Malaysia/33817/2006	0.0031211999178798197	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.0031211999178798197	malaysia	-1.000088900581841e-12	0	0.0	2006-02-24	-0.8287681601876534	0.5568542929301948	0.41212136658662496	-3.9853903013601584	0.127547880749877	0.0017554020855214249	7	-1.29062235060191	2006.1505817932925	2006-02-24	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.081124	0.0	7.528510000000002	3.8294399999999995	0.9752309287572025
A/Malaysia/34015/2006	0.0020268543411024395	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.0020268543411024395	malaysia	-9.99866855976916e-13	0	0.0	2006-03-15	-0.8287681601876534	-0.4925973646240784	0.41212136658662496	-3.9853903013601584	0.22483146387604666	0.001755735992423331	8	-0.3416353281005056	2006.2053388090344	2006-03-16	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.143232	0.0	8.528507999999999	4.542977	0.9086553732935705
A/Morioka/18/2006	0.0015794895224852945	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.0015794895224852945	japan	-1.000088900581841e-12	0	0.0	2006-02-06	-0.8287681601876534	0.7591229084923312	1.1480523783484546	-3.20765509728669	0.02654725638166118	0.0011701727136614276	7	-1.29062235060191	2006.1013004791241	2006-02-06	6	japan_korea	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.033612	0.0	8.528507999999999	4.762217	0.8406600132801287
A/Netherlands/182/2006	0.007043579106395852	2.2106774223521657	1.059671115204836	-8.16441580121538	d8ea4e1	0.007043579106395852	netherlands	-1.000088900581841e-12	0	0.0	2006-03-21	-1.3985695502491298	2.1105117747842863	0.41212136658662496	-3.998914348059434	-0.363574027013923	0.009406130240981768	10	1.5563387169023029	2006.219028062971	2006-03-21	5	europe	-9.99866855976916e-13	True	2006-04-01	h3n2	ha	0.154326	0.0	10.070798	7.859767999999999	0.3576193719888578
A/Netherlands/42/2006	0.0062387288014697645	2.2106774223521657	1.059671115204836	-8.16441580121538	d8ea4e1	0.0062387288014697645	netherlands	-9.99866855976916e-13	0	0.0	2006-02-24	-1.3985695502491298	1.963940314232013	3.3558454136339435	-1.5783578965964142	-0.35182162201583506	0.005862103474159126	10	0.6073516944008986	2006.1533196440798	2006-02-25	5	europe	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.084324	0.0	13.88718	10.657274	0.38191520662822787
A/NewYork/1001/2005	0.0018703443395089864	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.0018703443395089864	usa	-1.000088900581841e-12	0	0.0	2005-11-10	-0.8287681601876534	0.5568542929301948	0.41212136658662496	-3.9853903013601584	0.17540062073940324	0.0011701666818909214	7	-1.29062235060191	2005.85968514716	2005-11-10	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	3e-06	0.0	7.528510000000002	3.8294399999999995	0.9752309287572025
A/NewYork/1002/2005	0.003550628641579013	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.003550628641579013	usa	-1.000088900581841e-12	0	0.0	2005-12-26	-0.8287681601876534	2.2307003724371497	1.8839833901102845	-2.6795761500227653	-1.22006005290782	0.002342467325939686	8	-0.3416353281005056	2005.9883641341544	2005-12-27	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.001192	0.0	9.138246	5.887313000000001	0.6343079493521921
A/NewYork/1008/2006	0.003880808632381196	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.003880808632381196	usa	-1.000088900581841e-12	0	0.0	2006-01-11	-0.8287681601876534	0.3282028144686493	0.41212136658662496	-3.9853903013601584	-0.879295959594758	0.002928353410855251	8	0.6073516944008986	2006.0301163586585	2006-01-11	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.005075	0.0	8.902403	5.724817999999999	0.6369649825251016
A/NewYork/1020/2006	0.005339389648727279	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.005339389648727279	usa	-1.000088900581841e-12	0	0.0	2006-02-14	-0.8287681601876534	2.9254490954549235	1.1480523783484546	-3.4210698466525935	-1.5289040319223093	0.0017559957333657375	7	-1.29062235060191	2006.125941136208	2006-02-15	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.054553	0.0	7.384341999999999	3.892079	0.9239283781047717
A/Peru/128/2006	0.002761648515558983	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.002761648515558983	peru	-1.000088900581841e-12	0	0.0	2006-03-30	-0.8287681601876534	0.2080142168157856	1.1480523783484546	-3.4210698466525935	0.2628105185106539	0.0023434281447019963	7	0.6073516944008986	2006.2436687200545	2006-03-30	6	south_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.164894	0.0	9.383686000000003	4.596417	1.029645048924572
A/SouthCarolina/NHRC0001/2006	0.0027381029987891964	3.7075616123898216	2.9858362040203166	-5.7401589419503924	9b04f13	0.0027381029987891964	usa	-1.000088900581841e-12	0	0.0	2006-03-27	-0.8287681601876534	4.174237939360287	2.6199144018721143	-2.015788212051903	0.2719256094724407	0.005284426136876931	7	0.6073516944008986	2006.2381930184808	2006-03-28	6	north_america	-9.99866855976916e-13	True	2006-04-01	h3n2	ha	0.163718	0.0	10.612256	5.943899	0.8362498766905859
A/HongKong/CUHK63957/2006	0.004406600611824713	3.578805290270669	2.985836204020313	-8.629802960715343	9b04f13	0.004406600611824713	hong_kong	-1.000088900581841e-12	0	0.0	2006-09-06	0.3729892348083295	0.6213457355731948	2.6199144018721143	-3.468894362722075	-0.06739706335518762	0.0041023193246775575	7	-1.29062235060191	2006.6844626967832	2006-09-07	6	china	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.337226	0.0	9.630738000000001	4.181997000000001	1.203454328513265
A/Nepal/1445/2006	0.004025138693702786	3.578805290270669	2.985836204020313	-8.629802960715343	9b04f13	0.004025138693702786	nepal	-1.000088900581841e-12	0	0.0	2006-07-10	0.3729892348083295	2.1925917926935594	4.091776425395773	-1.9984330554574328	-1.31635323440647	0.0052820126027434645	10	-0.3416353281005056	2006.5229295003423	2006-07-10	6	south_asia	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.011188	0.0	9.256714999999998	7.115848	0.37946461042491164
A/Singapore/78/2006	0.001900328147020909	3.578805290270669	2.985836204020313	-8.629802960715343	9b04f13	0.001900328147020909	singapore	-9.99866855976916e-13	0	0.0	2006-08-21	0.3729892348083295	-0.284465890639851	1.1480523783484546	-4.760331338175788	-0.6336363871024835	0.000584876937820688	10	-0.3416353281005056	2006.6406570841891	2006-08-22	6	southeast_asia	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.194171	0.0	7.657879999999999	2.9074999999999998	1.3971658614431794
