strain	branch_length	cTiter	cTiterSub	cTiterSub_x	clade_membership	clock_length	country	country_entropy	dTiter	dTiterSub	date	delta_frequency	dms_star	ep	ep_x	lbi	mutation_length	ne	ne_star	numdate	raw_date	rb	region	region_entropy	is_terminal	timepoint	lineage	segment	frequency	naive
A/Malaysia/NHRC0001/2004	0.002833057068993283	0.9043005444938456	-0.9695631230788021	1.1231217661441453	4ff1302	0.002833057068993283	malaysia	-1.000088900581841e-12	0	0.0	2004-09-16	1.1602436257181268	-1.673963336675397	1.8839833901102843	1.9549357690995361	0.8454290703172482	0.002931139518681457	7	-0.3416353281005056	2004.7091033538672	2004-09-15	5	southeast_asia	-1.000088900581841e-12	True	2004-10-01	h3n2	ha	0.192805	0.0
A/Brisbane/3/2005	0.001740332030081497	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.001740332030081497	australia	-1.000088900581841e-12	0	0.0	2005-01-13	-1.02907174434847	-2.169374873342079	1.1480523783484546	0.15416007514239177	-0.3970216594487534	0.001754893533851719	10	1.5563387169023029	2005.0355920602328	2005-01-13	5	oceania	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.006407	0.0
A/Canterbury/3/2005	0.002527452572855721	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.002527452572855721	new_zealand	-1.000088900581841e-12	0	0.0	2005-03-06	-1.02907174434847	-0.4105173467148055	-0.32380964517520466	-0.9491660215904965	-0.09387312636059209	0.0011698624010381925	8	-0.3416353281005056	2005.177960301164	2005-03-06	5	oceania	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.121029	0.0
A/Hanoi/ISBM16/2005	0.002275701200432377	0.09927624451610888	-0.1548099968948421	-0.8611165740628027	4ff1302	0.002275701200432377	vietnam	-9.99866855976916e-13	0	0.0	2005-03-23	-0.4924552769519239	0.5568542929301948	-1.0597406569370342	-1.5494167433891426	-0.4914201594819149	9.083151337190906e-18	6	-1.2906223506019099	2005.227241615332	2005-03-24	4	southeast_asia	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.169468	0.0
A/HongKong/HKU40/2004	0.0015060433060885628	0.09927624451610888	-0.1548099968948421	-0.8611165740628027	4ff1302	0.0015060433060885628	hong_kong	-1.000088900581841e-12	0	0.0	2004-11-23	-0.4924552769519239	-1.8293290848608064	-1.0597406569370342	-1.3584584271518658	-0.6772931182501075	0.0023425017788895447	10	2.5053257394037067	2004.8980150581792	2004-11-23	5	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	2.3e-05	0.0
A/HongKong/HKU42/2005	0.001819555546729766	0.09927624451610888	-0.15480988500413742	-0.8611165740628027	4ff1302	0.001819555546729766	hong_kong	-9.99866855976916e-13	0	9.03697845505857e-08	2005-01-06	-0.4924552769519239	0.02626560573096732	-0.32380964517520466	-0.7720451324408901	-0.8767822836843873	0.001756091789322652	9	1.5563387169023029	2005.0164271047229	2005-01-06	5	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.003451	0.0
A/HongKong/HKU44/2005	0.002281878915775831	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.002281878915775831	hong_kong	-1.000088900581841e-12	0	0.0	2005-02-28	-1.02907174434847	-0.45742021409153283	1.1480523783484546	0.1492775126265764	-0.12504292373481488	0.002340709966388506	9	0.6073516944008986	2005.1615331964408	2005-02-28	6	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.100087	0.0
A/HongKong/HKU48/2005	0.0005533196440797167	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0005533196440797167	hong_kong	-1.000088900581841e-12	0	0.0	2005-04-01	-1.02907174434847	0.7855057713917404	0.41212136658662496	-0.38033752685588507	-0.19171962323091835	9.09951807555026e-18	7	-0.3416353281005056	2005.2491444216287	2005-04-01	6	china	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.175903	0.0
A/Malaysia/31944/2005	0.0	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0	malaysia	-1.000088900581841e-12	0	0.0	2005-02-13	-1.02907174434847	0.7855057713917404	0.41212136658662496	-0.38033752685588507	0.24031784900093575	9.09951807555026e-18	7	-0.3416353281005056	2005.120465434633	2005-02-13	6	southeast_asia	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.052505	0.0
A/Morioka/38/2005	0.0024634496919918518	0.09927624451610888	-0.1548099968948421	-0.8611165740628027	4ff1302	0.0024634496919918518	japan	-1.000088900581841e-12	0	0.0	2005-03-15	-0.4924552769519239	0.7180828995376949	-1.0597406569370342	-1.3584584271518658	-0.4971912988743857	0.0017571616973354144	8	0.6073516944008986	2005.2053388090344	2005-03-16	5	japan_korea	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.152362	0.0
A/NewYork/355/2004	0.0005839261588240912	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0005839261588240912	usa	-9.99866855976916e-13	0	0.0	2004-11-02	-1.02907174434847	-0.7916031441507146	0.41212136658662496	-0.42639238890948233	0.7025823512381182	0.0005847087850980181	7	-1.2906223506019099	2004.8377823408625	2004-11-01	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	1e-06	0.0
A/NewYork/361/2005	0.0030651551099716914	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0030651551099716914	usa	-1.000088900581841e-12	0	0.0	2005-02-02	-1.02907174434847	-0.445694497247351	-0.32380964517520466	-0.9491660215904965	-0.8402741111990087	0.0023418372806135305	7	0.6073516944008986	2005.090349075976	2005-02-02	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.028032	0.0
A/NewYork/380/2004	0.0015352618356371734	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0015352618356371734	usa	-1.000088900581841e-12	0	0.0	2004-12-26	-1.02907174434847	0.2988885223581947	0.41212136658662496	-0.3775272644744075	-0.6770379044049396	0.001754734078331519	7	-1.2906223506019099	2004.9883641341544	2004-12-26	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.001268	0.0
A/NewYork/382/2005	0.006743203362776104	0.761377859798051	-0.15481013109986674	-1.3358596430847305	d3a707a	0.006743203362776104	usa	-1.000088900581841e-12	0	0.0	2005-01-29	-0.9413212243820388	-0.07633441665562365	-0.32380964517520466	-0.9194280276676661	-1.7680471036478815	0.007633215389108844	8	0.6073516944008986	2005.0793976728269	2005-01-29	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.021601	0.0
A/NewYork/393/2005	0.0022468282806578713	0.761377859798051	1.271027151183928	-0.8415570542499525	7aa732d	0.0022468282806578713	usa	-1.000088900581841e-12	0	0.0	2005-03-22	-1.02907174434847	-0.7916031441507146	0.41212136658662496	-0.42639238890948233	-0.13398758697557098	0.0011707041961411823	7	-1.2906223506019099	2005.2245037645446	2005-03-23	5	north_america	-1.000088900581841e-12	True	2005-04-01	h3n2	ha	0.16786199999999998	0.0
A/Canterbury/242/2005	4.741044167567293e-05	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	4.741044167567293e-05	new_zealand	-1.000088900581841e-12	0	0.0	2005-07-31	1.8679856276683873	0.5568542929301948	0.41212136658662496	-1.8187726924817924	1.2195293226232071	8.751356364544501e-18	7	-1.2906223506019099	2005.583162217659	2005-08-01	6	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.043988	0.0
A/Canterbury/26/2005	0.0	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0	new_zealand	-1.000088900581841e-12	0	0.0	2005-05-24	1.8679856276683873	0.3282028144686493	1.1480523783484546	-1.1871856687236242	0.5945423625493039	8.738395043978136e-18	8	-0.3416353281005056	2005.396988364134	2005-05-25	6	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	4.1e-05	0.0
A/Canterbury/260/2005	0.0022543577872615184	2.221435282694542	1.2710271511839302	-3.860239933675965	7aa732d	0.0022543577872615184	new_zealand	-1.000088900581841e-12	0	0.0	2005-09-01	-1.6743225540888471	0.14645420338383106	1.1480523783484546	-1.116531500012271	0.36929119938578503	0.002339342490033596	10	-0.3416353281005056	2005.6707734428478	2005-09-02	5	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.20796	0.0
A/Canterbury/34/2005	0.0001530458590011663	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0001530458590011663	new_zealand	-1.000088900581841e-12	0	0.0	2005-06-07	1.8679856276683873	0.3282028144686493	1.1480523783484546	-1.1871856687236242	0.41648036184156945	8.738395043978136e-18	8	-0.3416353281005056	2005.432580424367	2005-06-07	6	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.00023	0.0
A/HongKong/CUHK12107/2005	0.0005767282683087628	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0005767282683087628	hong_kong	-9.99866855976916e-13	0	0.0	2005-05-02	1.8679856276683873	0.5568542929301948	0.41212136658662496	-1.8187726924817924	1.8043099878821647	8.751356364544501e-18	7	-1.2906223506019099	2005.3367556468168	2005-05-03	6	china	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	1e-06	0.0
A/HongKong/NHRC0001/2005	0.002084319364934896	2.221435282694542	1.2710271511839302	-3.8986330804107414	9b04f13	0.002084319364934896	hong_kong	-1.000088900581841e-12	0	0.0	2005-06-15	1.8679856276683873	0.4278714076441948	0.41212136658662496	-1.8187726924817924	0.3130397182244161	0.003515017847779378	7	-0.3416353281005056	2005.454483230664	2005-06-15	6	china	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.000605	0.0
A/NewYork/1000/2005	0.00038882043483122464	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.00038882043483122464	usa	-1.000088900581841e-12	0	0.0	2005-08-29	1.8679856276683873	0.5568542929301948	0.41212136658662496	-1.8187726924817924	0.8097106743262671	8.751356364544501e-18	7	-1.2906223506019099	2005.6625598904861	2005-08-30	6	north_america	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.188426	0.0
A/Quebec/26-070605/2005	0.0011656428421897085	2.221435282694542	-0.15480999689484098	-3.820253992057358	44989e1	0.0011656428421897085	canada	-1.000088900581841e-12	0	0.0	2005-06-07	-1.8625253816150242	-1.345643265038306	-0.32380964517520466	-2.4941049848719805	-1.7136568518717936	8.717553712869012e-18	8	0.6073516944008986	2005.432580424367	2005-06-07	5	north_america	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.00023	0.0
A/TayNguyen/TN335/2005	0.001076929287984911	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.001076929287984911	vietnam	-1.000088900581841e-12	0	0.0	2005-06-13	1.8679856276683873	1.0170886790643314	1.8839833901102843	-0.5999788717231641	1.0645074539677024	0.0017563115528524214	7	-1.2906223506019099	2005.4517453798767	2005-06-14	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.000538	0.0
A/TayNguyen/TN346/2005	0.0018158480083925801	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.0018158480083925801	vietnam	-1.000088900581841e-12	0	0.0	2005-07-31	1.8679856276683873	-1.4716947211132605	0.41212136658662496	-1.8187726924817924	0.21976975362742754	0.001755490928447694	8	-0.3416353281005056	2005.583162217659	2005-08-01	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.043988	0.0
A/TayNguyen/TN363/2005	0.003971448131283251	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.003971448131283251	vietnam	-1.000088900581841e-12	0	0.0	2005-08-18	1.8679856276683873	1.3307516046461951	0.41212136658662496	-1.8187726924817924	-1.0817161586681758	0.003517297045773005	9	0.6073516944008986	2005.6297056810406	2005-08-18	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.115228	0.0
A/TayNguyen/TN388/2005	0.00230129615999132	2.221435282694542	1.2710271511839302	-3.860239933675965	9b04f13	0.00230129615999132	vietnam	-1.000088900581841e-12	0	0.0	2005-09-26	1.8679856276683873	1.374723042811877	1.1480523783484546	-1.187777722274734	0.7206731867548136	0.0005848871212998662	7	-1.2906223506019099	2005.7364818617386	2005-09-26	6	southeast_asia	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.322619	0.0
A/Waikato/7/2005	0.001983584344414348	2.221435282694542	1.2710271511839302	-3.860239933675965	7aa732d	0.001983584344414348	new_zealand	-9.99866855976916e-13	0	0.0	2005-08-10	-1.6743225540888471	0.313545668413422	1.1480523783484546	-1.116531500012271	-0.40516702572887875	0.0017570308433463426	9	-1.2906223506019099	2005.607802874744	2005-08-10	5	oceania	-1.000088900581841e-12	True	2005-10-01	h3n2	ha	0.076145	0.0
A/HongKong/CUHK53004/2006	0.0032219630915665265	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.0032219630915665265	hong_kong	-1.000088900581841e-12	0	0.0	2006-03-04	-0.8287681601876534	-1.451174716635942	1.1480523783484546	-3.219419723796211	0.27523356267550747	0.002342865775677879	7	-1.2906223506019099	2006.1724845995893	2006-03-04	6	china	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.107256	0.0
A/Malaysia/33386/2005	0.00032176669015319265	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.00032176669015319265	malaysia	-1.000088900581841e-12	0	0.0	2005-12-29	-0.8287681601876534	0.5861685850406494	1.1480523783484546	-3.2619464700033394	-1.2327182381014763	0.0005849038184887995	7	-1.2906223506019099	2005.996577686516	2005-12-30	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.0016170000000000002	0.0
A/Malaysia/33464/2006	0.00046598298036557023	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.00046598298036557023	malaysia	-1.000088900581841e-12	0	0.0	2006-01-11	-0.8287681601876534	0.5568542929301948	0.41212136658662496	-3.9853903013601584	-1.2823009242712387	1.1081618090430255e-17	7	-1.2906223506019099	2006.0301163586585	2006-01-11	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.005075	0.0
A/Malaysia/33817/2006	0.0031211999178798197	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.0031211999178798197	malaysia	-1.000088900581841e-12	0	0.0	2006-02-24	-0.8287681601876534	0.5568542929301948	0.41212136658662496	-3.9853903013601584	0.127547880749877	0.0017554020855214249	7	-1.2906223506019099	2006.1505817932925	2006-02-24	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.081124	0.0
A/Malaysia/34015/2006	0.0020268543411024395	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.0020268543411024395	malaysia	-9.99866855976916e-13	0	0.0	2006-03-15	-0.8287681601876534	-0.4925973646240784	0.41212136658662496	-3.9853903013601584	0.22483146387604666	0.001755735992423331	8	-0.3416353281005056	2006.2053388090344	2006-03-16	6	southeast_asia	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.143232	0.0
A/Morioka/18/2006	0.0015794895224852945	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.0015794895224852945	japan	-1.000088900581841e-12	0	0.0	2006-02-06	-0.8287681601876534	0.7591229084923312	1.1480523783484546	-3.2076550972866906	0.02654725638166118	0.0011701727136614276	7	-1.2906223506019099	2006.1013004791241	2006-02-06	6	japan_korea	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.033612	0.0
A/Netherlands/182/2006	0.007043579106395852	2.2106774223521657	1.059671115204836	-8.16441580121538	d8ea4e1	0.007043579106395852	netherlands	-1.000088900581841e-12	0	0.0	2006-03-21	-1.3985695502491298	2.1105117747842863	0.41212136658662496	-3.9989143480594334	-0.363574027013923	0.009406130240981768	10	1.5563387169023029	2006.219028062971	2006-03-21	5	europe	-9.99866855976916e-13	True	2006-04-01	h3n2	ha	0.154326	0.0
A/Netherlands/42/2006	0.0062387288014697645	2.2106774223521657	1.059671115204836	-8.16441580121538	d8ea4e1	0.0062387288014697645	netherlands	-9.99866855976916e-13	0	0.0	2006-02-24	-1.3985695502491298	1.9639403142320135	3.3558454136339435	-1.578357896596414	-0.35182162201583506	0.005862103474159126	10	0.6073516944008986	2006.1533196440798	2006-02-25	5	europe	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.084324	0.0
A/NewYork/1001/2005	0.0018703443395089864	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.0018703443395089864	usa	-1.000088900581841e-12	0	0.0	2005-11-10	-0.8287681601876534	0.5568542929301948	0.41212136658662496	-3.9853903013601584	0.17540062073940324	0.0011701666818909214	7	-1.2906223506019099	2005.85968514716	2005-11-10	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	3e-06	0.0
A/NewYork/1002/2005	0.003550628641579013	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.003550628641579013	usa	-1.000088900581841e-12	0	0.0	2005-12-26	-0.8287681601876534	2.23070037243715	1.8839833901102843	-2.6795761500227653	-1.22006005290782	0.002342467325939686	8	-0.3416353281005056	2005.9883641341544	2005-12-27	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.001192	0.0
A/NewYork/1008/2006	0.003880808632381196	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.003880808632381196	usa	-1.000088900581841e-12	0	0.0	2006-01-11	-0.8287681601876534	0.3282028144686493	0.41212136658662496	-3.9853903013601584	-0.879295959594758	0.002928353410855251	8	0.6073516944008986	2006.0301163586585	2006-01-11	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.005075	0.0
A/NewYork/1020/2006	0.005339389648727279	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.005339389648727279	usa	-1.000088900581841e-12	0	0.0	2006-02-14	-0.8287681601876534	2.925449095454923	1.1480523783484546	-3.421069846652594	-1.5289040319223093	0.0017559957333657375	7	-1.2906223506019099	2006.125941136208	2006-02-15	6	north_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.054553	0.0
A/Peru/128/2006	0.002761648515558983	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.002761648515558983	peru	-1.000088900581841e-12	0	0.0	2006-03-30	-0.8287681601876534	0.2080142168157856	1.1480523783484546	-3.421069846652594	0.2628105185106539	0.0023434281447019963	7	0.6073516944008986	2006.2436687200545	2006-03-30	6	south_america	-1.000088900581841e-12	True	2006-04-01	h3n2	ha	0.164894	0.0
A/SouthCarolina/NHRC0001/2006	0.0027381029987891964	3.7075616123898216	2.985836204020316	-5.740158941950393	9b04f13	0.0027381029987891964	usa	-1.000088900581841e-12	0	0.0	2006-03-27	-0.8287681601876534	4.174237939360287	2.619914401872114	-2.015788212051903	0.2719256094724407	0.005284426136876931	7	0.6073516944008986	2006.2381930184808	2006-03-28	6	north_america	-9.99866855976916e-13	True	2006-04-01	h3n2	ha	0.163718	0.0
A/HongKong/CUHK63957/2006	0.004406600611824713	3.578805290270669	2.985836204020313	-8.629802960715342	9b04f13	0.004406600611824713	hong_kong	-1.000088900581841e-12	0	0.0	2006-09-06	0.37298923480832946	0.6213457355731948	2.619914401872114	-3.468894362722075	-0.06739706335518762	0.0041023193246775575	7	-1.2906223506019099	2006.6844626967832	2006-09-07	6	china	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.337226	0.0
A/Nepal/1445/2006	0.004025138693702786	3.578805290270669	2.985836204020313	-8.629802960715342	9b04f13	0.004025138693702786	nepal	-1.000088900581841e-12	0	0.0	2006-07-10	0.37298923480832946	2.1925917926935594	4.091776425395773	-1.9984330554574326	-1.3163532344064701	0.0052820126027434645	10	-0.3416353281005056	2006.5229295003423	2006-07-10	6	south_asia	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.011188	0.0
A/Singapore/78/2006	0.001900328147020909	3.578805290270669	2.985836204020313	-8.629802960715342	9b04f13	0.001900328147020909	singapore	-9.99866855976916e-13	0	0.0	2006-08-21	0.37298923480832946	-0.284465890639851	1.1480523783484546	-4.760331338175787	-0.6336363871024835	0.000584876937820688	10	-0.3416353281005056	2006.640657084189	2006-08-22	6	southeast_asia	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.194171	0.0
A/Singapore/79/2006	0.00233592020725365	3.578805290270669	2.985836204020313	-8.629802960715342	9b04f13	0.00233592020725365	singapore	-1.000088900581841e-12	0	0.0	2006-09-27	0.37298923480832946	-0.16134586377594187	0.41212136658662496	-5.649016842363866	-0.08880008556144951	0.001756434587184783	10	-0.3416353281005056	2006.7419575633128	2006-09-28	6	southeast_asia	-1.000088900581841e-12	True	2006-10-01	h3n2	ha	0.457414	0.0
A/Beijing/XICHENG1272/2006	0.0013020494195650073	3.1644048273435903	2.1410630926446386	-13.324051963375346	9b04f13	0.0013020494195650073	china	-1.000088900581841e-12	0	0.0	2006-12-11	-5.192188810193331	1.0493344003858314	1.8839833901102843	-6.607474140141063	-1.8986883998155484	1.351629300547404e-17	7	-1.2906223506019099	2006.9445585215606	2006-12-11	6	china	-1.000088900581841e-12	True	2007-04-01	h3n2	ha	0.000203	0.0
A/Canada/309/2007	0.0024042835926247896	3.1644048273435903	2.1410630926446386	-13.324051963375346	9f68af2	0.0024042835926247896	canada	-1.000088900581841e-12	0	0.0	2007-01-25	1.3676153339529522	-0.07926584586666906	4.091776425395773	-3.8627389837974335	0.014942870183341112	0.003508333957640857	11	0.6073516944008986	2007.0684462696786	2007-01-25	6	north_america	-1.000088900581841e-12	True	2007-04-01	h3n2	ha	0.015706	0.0
A/Egypt/3707/2006	0.0013257124781828821	3.1644048273435903	2.1410630926446386	-13.324051963375346	98a3f76	0.0013257124781828821	egypt	-9.99866855976916e-13	0	0.0	2006-12-14	0.7542672474990016	-2.6735806976418974	3.3558454136339435	-4.667130873409918	-0.6667696863031732	0.002340885163682173	10	-1.2906223506019099	2006.952772073922	2006-12-14	6	africa	-1.000088900581841e-12	True	2007-04-01	h3n2	ha	0.00029	0.0
A/Guangdong/4/2007	0.0018118158794536226	3.1644048273435903	2.1410630926446386	-13.324051963375346	3c0baec	0.0018118158794536226	china	-1.000088900581841e-12	0	0.0	2007-03-08	-1.1701297034762437	3.3123977513129232	4.827707437157603	-3.3044365983256725	0.890484823825382	0.0058703792986381145	11	0.6073516944008986	2007.1834360027372	2007-03-08	7	china	-1.000088900581841e-12	True	2007-04-01	h3n2	ha	0.12272	0.0
A/Guyane/13/2007	0.002865189971852964	3.1644048273435903	2.1410630926446386	-13.324051963375346	3c0baec	0.002865189971852964	french_guiana	-9.99866855976916e-13	0	0.0	2007-03-08	-1.1701297034762437	4.962792397131515	1.8839833901102843	-6.630146694708878	0.6079119426489463	0.0011696640987638464	9	-1.2906223506019099	2007.1861738535247	2007-03-09	6	south_america	-1.000088900581841e-12	True	2007-04-01	h3n2	ha	0.125918	0.0
