model	predictor	timepoint	coefficient
Wolf epitope antigenic novelty	ep_x_wolf	2011-04-01	-0.164
Wolf epitope antigenic novelty	ep_x_wolf	2011-10-01	-0.215
Wolf epitope antigenic novelty	ep_x_wolf	2012-04-01	-0.5
Wolf epitope antigenic novelty	ep_x_wolf	2012-10-01	-0.48
Wolf epitope antigenic novelty	ep_x_wolf	2013-04-01	-0.466
Wolf epitope antigenic novelty	ep_x_wolf	2013-10-01	-0.253
Wolf epitope antigenic novelty	ep_x_wolf	2014-04-01	-0.0
Wolf epitope antigenic novelty	ep_x_wolf	2014-10-01	0.035
epitope antigenic novelty	ep_x	2003-10-01	1.176
epitope antigenic novelty	ep_x	2004-04-01	1.197
epitope antigenic novelty	ep_x	2004-10-01	1.193
epitope antigenic novelty	ep_x	2005-04-01	1.195
epitope antigenic novelty	ep_x	2005-10-01	1.203
epitope antigenic novelty	ep_x	2006-04-01	1.202
epitope antigenic novelty	ep_x	2006-10-01	1.191
epitope antigenic novelty	ep_x	2007-04-01	1.137
epitope antigenic novelty	ep_x	2007-10-01	1.176
epitope antigenic novelty	ep_x	2008-04-01	1.125
epitope antigenic novelty	ep_x	2008-10-01	1.12
epitope antigenic novelty	ep_x	2009-04-01	1.144
epitope antigenic novelty	ep_x	2009-10-01	0.471
epitope antigenic novelty	ep_x	2010-04-01	0.158
epitope antigenic novelty	ep_x	2010-10-01	0.209
epitope antigenic novelty	ep_x	2011-04-01	-0.158
epitope antigenic novelty	ep_x	2011-10-01	-0.2
epitope antigenic novelty	ep_x	2012-04-01	-0.25
epitope antigenic novelty	ep_x	2012-10-01	-0.596
epitope antigenic novelty	ep_x	2013-04-01	-0.593
epitope antigenic novelty	ep_x	2013-10-01	-0.425
epitope antigenic novelty	ep_x	2014-04-01	-0.357
epitope antigenic novelty	ep_x	2014-10-01	-0.319
oracle antigenic novelty	oracle_x	2003-10-01	0.715
oracle antigenic novelty	oracle_x	2004-04-01	0.794
oracle antigenic novelty	oracle_x	2004-10-01	0.783
oracle antigenic novelty	oracle_x	2005-04-01	0.705
oracle antigenic novelty	oracle_x	2005-10-01	0.735
oracle antigenic novelty	oracle_x	2006-04-01	0.762
oracle antigenic novelty	oracle_x	2006-10-01	0.867
oracle antigenic novelty	oracle_x	2007-04-01	0.875
oracle antigenic novelty	oracle_x	2007-10-01	1.052
oracle antigenic novelty	oracle_x	2008-04-01	1.064
oracle antigenic novelty	oracle_x	2008-10-01	1.101
oracle antigenic novelty	oracle_x	2009-04-01	1.212
oracle antigenic novelty	oracle_x	2009-10-01	1.194
oracle antigenic novelty	oracle_x	2010-04-01	0.661
oracle antigenic novelty	oracle_x	2010-10-01	0.57
oracle antigenic novelty	oracle_x	2011-04-01	0.565
oracle antigenic novelty	oracle_x	2011-10-01	0.517
oracle antigenic novelty	oracle_x	2012-04-01	0.483
oracle antigenic novelty	oracle_x	2012-10-01	0.625
oracle antigenic novelty	oracle_x	2013-04-01	0.719
oracle antigenic novelty	oracle_x	2013-10-01	0.829
oracle antigenic novelty	oracle_x	2014-04-01	0.921
oracle antigenic novelty	oracle_x	2014-10-01	0.629
HI antigenic novelty	cTiter_x	2003-10-01	0.927
HI antigenic novelty	cTiter_x	2004-04-01	0.941
HI antigenic novelty	cTiter_x	2004-10-01	0.931
HI antigenic novelty	cTiter_x	2005-04-01	0.945
HI antigenic novelty	cTiter_x	2005-10-01	0.924
HI antigenic novelty	cTiter_x	2006-04-01	0.945
HI antigenic novelty	cTiter_x	2006-10-01	1.04
HI antigenic novelty	cTiter_x	2007-04-01	0.994
HI antigenic novelty	cTiter_x	2007-10-01	0.929
HI antigenic novelty	cTiter_x	2008-04-01	0.945
HI antigenic novelty	cTiter_x	2008-10-01	1.027
HI antigenic novelty	cTiter_x	2009-04-01	0.998
HI antigenic novelty	cTiter_x	2009-10-01	0.811
HI antigenic novelty	cTiter_x	2010-04-01	1.033
HI antigenic novelty	cTiter_x	2010-10-01	0.966
HI antigenic novelty	cTiter_x	2011-04-01	0.819
HI antigenic novelty	cTiter_x	2011-10-01	0.566
HI antigenic novelty	cTiter_x	2012-04-01	0.577
HI antigenic novelty	cTiter_x	2012-10-01	0.538
HI antigenic novelty	cTiter_x	2013-04-01	0.532
HI antigenic novelty	cTiter_x	2013-10-01	0.567
HI antigenic novelty	cTiter_x	2014-04-01	0.563
HI antigenic novelty	cTiter_x	2014-10-01	0.483
mutational load	ne_star	2003-10-01	-0.6
mutational load	ne_star	2004-04-01	-1.19
mutational load	ne_star	2004-10-01	-1.003
mutational load	ne_star	2005-04-01	-1.291
mutational load	ne_star	2005-10-01	-1.181
mutational load	ne_star	2006-04-01	-1.219
mutational load	ne_star	2006-10-01	-1.26
mutational load	ne_star	2007-04-01	-1.191
mutational load	ne_star	2007-10-01	-1.208
mutational load	ne_star	2008-04-01	-1.191
mutational load	ne_star	2008-10-01	-1.192
mutational load	ne_star	2009-04-01	-1.127
mutational load	ne_star	2009-10-01	-1.207
mutational load	ne_star	2010-04-01	-1.288
mutational load	ne_star	2010-10-01	-1.208
mutational load	ne_star	2011-04-01	-0.93
mutational load	ne_star	2011-10-01	-0.93
mutational load	ne_star	2012-04-01	-0.924
mutational load	ne_star	2012-10-01	-0.817
mutational load	ne_star	2013-04-01	-0.482
mutational load	ne_star	2013-10-01	-0.43
mutational load	ne_star	2014-04-01	-0.405
mutational load	ne_star	2014-10-01	-0.564
DMS mutational effects	dms_star	2003-10-01	1.965
DMS mutational effects	dms_star	2004-04-01	2.091
DMS mutational effects	dms_star	2004-10-01	2.09
DMS mutational effects	dms_star	2005-04-01	1.966
DMS mutational effects	dms_star	2005-10-01	1.81
DMS mutational effects	dms_star	2006-04-01	1.004
DMS mutational effects	dms_star	2006-10-01	2.361
DMS mutational effects	dms_star	2007-04-01	2.439
DMS mutational effects	dms_star	2007-10-01	2.45
DMS mutational effects	dms_star	2008-04-01	2.704
DMS mutational effects	dms_star	2008-10-01	1.09
DMS mutational effects	dms_star	2009-04-01	1.096
DMS mutational effects	dms_star	2009-10-01	1.012
DMS mutational effects	dms_star	2010-04-01	0.77
DMS mutational effects	dms_star	2010-10-01	0.522
DMS mutational effects	dms_star	2011-04-01	0.497
DMS mutational effects	dms_star	2011-10-01	0.518
DMS mutational effects	dms_star	2012-04-01	0.468
DMS mutational effects	dms_star	2012-10-01	0.519
DMS mutational effects	dms_star	2013-04-01	0.477
DMS mutational effects	dms_star	2013-10-01	0.256
DMS mutational effects	dms_star	2014-04-01	0.267
DMS mutational effects	dms_star	2014-10-01	0.285
DMS mutational load	dms_nonepitope	2003-10-01	0.295
DMS mutational load	dms_nonepitope	2004-04-01	0.002
DMS mutational load	dms_nonepitope	2004-10-01	-0.007
DMS mutational load	dms_nonepitope	2005-04-01	-0.049
DMS mutational load	dms_nonepitope	2005-10-01	-0.019
DMS mutational load	dms_nonepitope	2006-04-01	0.025
DMS mutational load	dms_nonepitope	2006-10-01	-0.015
DMS mutational load	dms_nonepitope	2007-04-01	0.016
DMS mutational load	dms_nonepitope	2007-10-01	0.026
DMS mutational load	dms_nonepitope	2008-04-01	0.035
DMS mutational load	dms_nonepitope	2008-10-01	0.037
DMS mutational load	dms_nonepitope	2009-04-01	0.035
DMS mutational load	dms_nonepitope	2009-10-01	0.013
DMS mutational load	dms_nonepitope	2010-04-01	-0.007
DMS mutational load	dms_nonepitope	2010-10-01	0.035
DMS mutational load	dms_nonepitope	2011-04-01	0.003
DMS mutational load	dms_nonepitope	2011-10-01	-0.028
DMS mutational load	dms_nonepitope	2012-04-01	-0.07
DMS mutational load	dms_nonepitope	2012-10-01	-0.035
DMS mutational load	dms_nonepitope	2013-04-01	-0.021
DMS mutational load	dms_nonepitope	2013-10-01	0.015
DMS mutational load	dms_nonepitope	2014-04-01	-0.387
DMS mutational load	dms_nonepitope	2014-10-01	-0.375
DMS entropy	dms_entropy	2003-10-01	-0.463
DMS entropy	dms_entropy	2004-04-01	-0.001
DMS entropy	dms_entropy	2004-10-01	-0.01
DMS entropy	dms_entropy	2005-04-01	-0.053
DMS entropy	dms_entropy	2005-10-01	-0.023
DMS entropy	dms_entropy	2006-04-01	0.025
DMS entropy	dms_entropy	2006-10-01	-0.017
DMS entropy	dms_entropy	2007-04-01	0.014
DMS entropy	dms_entropy	2007-10-01	0.025
DMS entropy	dms_entropy	2008-04-01	0.036
DMS entropy	dms_entropy	2008-10-01	0.035
DMS entropy	dms_entropy	2009-04-01	0.025
DMS entropy	dms_entropy	2009-10-01	0.001
DMS entropy	dms_entropy	2010-04-01	-0.019
DMS entropy	dms_entropy	2010-10-01	0.02
DMS entropy	dms_entropy	2011-04-01	-0.012
DMS entropy	dms_entropy	2011-10-01	-0.043
DMS entropy	dms_entropy	2012-04-01	-0.088
DMS entropy	dms_entropy	2012-10-01	-0.051
DMS entropy	dms_entropy	2013-04-01	-0.039
DMS entropy	dms_entropy	2013-10-01	-0.003
DMS entropy	dms_entropy	2014-04-01	-0.0
DMS entropy	dms_entropy	2014-10-01	0.036
LBI	lbi	2003-10-01	-0.001
LBI	lbi	2004-04-01	0.005
LBI	lbi	2004-10-01	-0.004
LBI	lbi	2005-04-01	0.797
LBI	lbi	2005-10-01	0.792
LBI	lbi	2006-04-01	0.889
LBI	lbi	2006-10-01	0.904
LBI	lbi	2007-04-01	1.093
LBI	lbi	2007-10-01	1.116
LBI	lbi	2008-04-01	1.229
LBI	lbi	2008-10-01	1.237
LBI	lbi	2009-04-01	1.358
LBI	lbi	2009-10-01	1.284
LBI	lbi	2010-04-01	1.487
LBI	lbi	2010-10-01	1.461
LBI	lbi	2011-04-01	1.501
LBI	lbi	2011-10-01	1.411
LBI	lbi	2012-04-01	1.446
LBI	lbi	2012-10-01	1.409
LBI	lbi	2013-04-01	1.457
LBI	lbi	2013-10-01	1.455
LBI	lbi	2014-04-01	1.641
LBI	lbi	2014-10-01	1.741
delta frequency	delta_frequency	2003-10-01	-0.224
delta frequency	delta_frequency	2004-04-01	0.257
delta frequency	delta_frequency	2004-10-01	0.267
delta frequency	delta_frequency	2005-04-01	0.567
delta frequency	delta_frequency	2005-10-01	0.574
delta frequency	delta_frequency	2006-04-01	0.619
delta frequency	delta_frequency	2006-10-01	0.658
delta frequency	delta_frequency	2007-04-01	0.826
delta frequency	delta_frequency	2007-10-01	0.879
delta frequency	delta_frequency	2008-04-01	1.341
delta frequency	delta_frequency	2008-10-01	1.326
delta frequency	delta_frequency	2009-04-01	1.72
delta frequency	delta_frequency	2009-10-01	1.824
delta frequency	delta_frequency	2010-04-01	1.172
delta frequency	delta_frequency	2010-10-01	1.057
delta frequency	delta_frequency	2011-04-01	0.959
delta frequency	delta_frequency	2011-10-01	0.867
delta frequency	delta_frequency	2012-04-01	0.787
delta frequency	delta_frequency	2012-10-01	0.518
delta frequency	delta_frequency	2013-04-01	0.55
delta frequency	delta_frequency	2013-10-01	0.644
delta frequency	delta_frequency	2014-04-01	0.615
delta frequency	delta_frequency	2014-10-01	0.47
epitope ancestor + mutational load	ep_star	2003-10-01	0.189
epitope ancestor + mutational load	ne_star	2003-10-01	-0.856
epitope ancestor + mutational load	ep_star	2004-04-01	1.107
epitope ancestor + mutational load	ne_star	2004-04-01	-0.485
epitope ancestor + mutational load	ep_star	2004-10-01	1.014
epitope ancestor + mutational load	ne_star	2004-10-01	-0.515
epitope ancestor + mutational load	ep_star	2005-04-01	1.102
epitope ancestor + mutational load	ne_star	2005-04-01	-0.557
epitope ancestor + mutational load	ep_star	2005-10-01	1.111
epitope ancestor + mutational load	ne_star	2005-10-01	-0.534
epitope ancestor + mutational load	ep_star	2006-04-01	1.104
epitope ancestor + mutational load	ne_star	2006-04-01	-0.558
epitope ancestor + mutational load	ep_star	2006-10-01	1.109
epitope ancestor + mutational load	ne_star	2006-10-01	-0.611
epitope ancestor + mutational load	ep_star	2007-04-01	1.08
epitope ancestor + mutational load	ne_star	2007-04-01	-0.731
epitope ancestor + mutational load	ep_star	2007-10-01	0.856
epitope ancestor + mutational load	ne_star	2007-10-01	-0.904
epitope ancestor + mutational load	ep_star	2008-04-01	0.878
epitope ancestor + mutational load	ne_star	2008-04-01	-0.942
epitope ancestor + mutational load	ep_star	2008-10-01	0.971
epitope ancestor + mutational load	ne_star	2008-10-01	-0.95
epitope ancestor + mutational load	ep_star	2009-04-01	1.122
epitope ancestor + mutational load	ne_star	2009-04-01	-0.934
epitope ancestor + mutational load	ep_star	2009-10-01	0.438
epitope ancestor + mutational load	ne_star	2009-10-01	-1.421
epitope ancestor + mutational load	ep_star	2010-04-01	0.381
epitope ancestor + mutational load	ne_star	2010-04-01	-1.567
epitope ancestor + mutational load	ep_star	2010-10-01	-0.023
epitope ancestor + mutational load	ne_star	2010-10-01	-1.143
epitope ancestor + mutational load	ep_star	2011-04-01	0.026
epitope ancestor + mutational load	ne_star	2011-04-01	-0.897
epitope ancestor + mutational load	ep_star	2011-10-01	0.027
epitope ancestor + mutational load	ne_star	2011-10-01	-0.93
epitope ancestor + mutational load	ep_star	2012-04-01	-0.011
epitope ancestor + mutational load	ne_star	2012-04-01	-0.874
epitope ancestor + mutational load	ep_star	2012-10-01	-0.06
epitope ancestor + mutational load	ne_star	2012-10-01	-0.377
epitope ancestor + mutational load	ep_star	2013-04-01	-0.043
epitope ancestor + mutational load	ne_star	2013-04-01	-0.403
epitope ancestor + mutational load	ep_star	2013-10-01	-0.01
epitope ancestor + mutational load	ne_star	2013-10-01	-0.48
epitope ancestor + mutational load	ep_star	2014-04-01	-0.044
epitope ancestor + mutational load	ne_star	2014-04-01	-0.417
epitope ancestor + mutational load	ep_star	2014-10-01	-0.052
epitope ancestor + mutational load	ne_star	2014-10-01	-0.641
epitope antigenic novelty + mutational load	ep_x	2003-10-01	1.302
epitope antigenic novelty + mutational load	ne_star	2003-10-01	-1.251
epitope antigenic novelty + mutational load	ep_x	2004-04-01	1.236
epitope antigenic novelty + mutational load	ne_star	2004-04-01	-0.666
epitope antigenic novelty + mutational load	ep_x	2004-10-01	1.243
epitope antigenic novelty + mutational load	ne_star	2004-10-01	-0.695
epitope antigenic novelty + mutational load	ep_x	2005-04-01	1.262
epitope antigenic novelty + mutational load	ne_star	2005-04-01	-0.824
epitope antigenic novelty + mutational load	ep_x	2005-10-01	1.256
epitope antigenic novelty + mutational load	ne_star	2005-10-01	-0.851
epitope antigenic novelty + mutational load	ep_x	2006-04-01	1.243
epitope antigenic novelty + mutational load	ne_star	2006-04-01	-0.669
epitope antigenic novelty + mutational load	ep_x	2006-10-01	1.245
epitope antigenic novelty + mutational load	ne_star	2006-10-01	-0.678
epitope antigenic novelty + mutational load	ep_x	2007-04-01	1.239
epitope antigenic novelty + mutational load	ne_star	2007-04-01	-0.744
epitope antigenic novelty + mutational load	ep_x	2007-10-01	1.255
epitope antigenic novelty + mutational load	ne_star	2007-10-01	-0.754
epitope antigenic novelty + mutational load	ep_x	2008-04-01	1.26
epitope antigenic novelty + mutational load	ne_star	2008-04-01	-0.739
epitope antigenic novelty + mutational load	ep_x	2008-10-01	1.261
epitope antigenic novelty + mutational load	ne_star	2008-10-01	-0.778
epitope antigenic novelty + mutational load	ep_x	2009-04-01	1.258
epitope antigenic novelty + mutational load	ne_star	2009-04-01	-0.771
epitope antigenic novelty + mutational load	ep_x	2009-10-01	0.351
epitope antigenic novelty + mutational load	ne_star	2009-10-01	-0.974
epitope antigenic novelty + mutational load	ep_x	2010-04-01	0.171
epitope antigenic novelty + mutational load	ne_star	2010-04-01	-1.396
epitope antigenic novelty + mutational load	ep_x	2010-10-01	0.155
epitope antigenic novelty + mutational load	ne_star	2010-10-01	-1.404
epitope antigenic novelty + mutational load	ep_x	2011-04-01	-0.086
epitope antigenic novelty + mutational load	ne_star	2011-04-01	-0.916
epitope antigenic novelty + mutational load	ep_x	2011-10-01	-0.1
epitope antigenic novelty + mutational load	ne_star	2011-10-01	-0.672
epitope antigenic novelty + mutational load	ep_x	2012-04-01	-0.164
epitope antigenic novelty + mutational load	ne_star	2012-04-01	-0.649
epitope antigenic novelty + mutational load	ep_x	2012-10-01	-0.679
epitope antigenic novelty + mutational load	ne_star	2012-10-01	-0.391
epitope antigenic novelty + mutational load	ep_x	2013-04-01	-0.695
epitope antigenic novelty + mutational load	ne_star	2013-04-01	-0.429
epitope antigenic novelty + mutational load	ep_x	2013-10-01	-0.381
epitope antigenic novelty + mutational load	ne_star	2013-10-01	-0.494
epitope antigenic novelty + mutational load	ep_x	2014-04-01	-0.368
epitope antigenic novelty + mutational load	ne_star	2014-04-01	-0.467
epitope antigenic novelty + mutational load	ep_x	2014-10-01	-0.197
epitope antigenic novelty + mutational load	ne_star	2014-10-01	-0.556
mutational load + LBI	ne_star	2003-10-01	-0.618
mutational load + LBI	lbi	2003-10-01	-0.108
mutational load + LBI	ne_star	2004-04-01	-1.382
mutational load + LBI	lbi	2004-04-01	0.435
mutational load + LBI	ne_star	2004-10-01	-0.937
mutational load + LBI	lbi	2004-10-01	0.466
mutational load + LBI	ne_star	2005-04-01	-1.319
mutational load + LBI	lbi	2005-04-01	0.62
mutational load + LBI	ne_star	2005-10-01	-1.247
mutational load + LBI	lbi	2005-10-01	0.661
mutational load + LBI	ne_star	2006-04-01	-1.014
mutational load + LBI	lbi	2006-04-01	0.745
mutational load + LBI	ne_star	2006-10-01	-1.005
mutational load + LBI	lbi	2006-10-01	0.741
mutational load + LBI	ne_star	2007-04-01	-0.829
mutational load + LBI	lbi	2007-04-01	1.098
mutational load + LBI	ne_star	2007-10-01	-0.911
mutational load + LBI	lbi	2007-10-01	1.037
mutational load + LBI	ne_star	2008-04-01	-0.556
mutational load + LBI	lbi	2008-04-01	1.16
mutational load + LBI	ne_star	2008-10-01	-0.534
mutational load + LBI	lbi	2008-10-01	1.178
mutational load + LBI	ne_star	2009-04-01	-0.509
mutational load + LBI	lbi	2009-04-01	1.262
mutational load + LBI	ne_star	2009-10-01	-0.549
mutational load + LBI	lbi	2009-10-01	1.147
mutational load + LBI	ne_star	2010-04-01	-0.68
mutational load + LBI	lbi	2010-04-01	1.255
mutational load + LBI	ne_star	2010-10-01	-0.542
mutational load + LBI	lbi	2010-10-01	1.298
mutational load + LBI	ne_star	2011-04-01	-0.508
mutational load + LBI	lbi	2011-04-01	1.312
mutational load + LBI	ne_star	2011-10-01	-0.532
mutational load + LBI	lbi	2011-10-01	1.243
mutational load + LBI	ne_star	2012-04-01	-0.281
mutational load + LBI	lbi	2012-04-01	1.332
mutational load + LBI	ne_star	2012-10-01	-0.357
mutational load + LBI	lbi	2012-10-01	1.216
mutational load + LBI	ne_star	2013-04-01	-0.319
mutational load + LBI	lbi	2013-04-01	1.336
mutational load + LBI	ne_star	2013-10-01	-0.301
mutational load + LBI	lbi	2013-10-01	1.368
mutational load + LBI	ne_star	2014-04-01	-0.281
mutational load + LBI	lbi	2014-04-01	1.587
mutational load + LBI	ne_star	2014-10-01	-0.328
mutational load + LBI	lbi	2014-10-01	1.384
HI antigenic novelty + mutational load	cTiter_x	2003-10-01	1.056
HI antigenic novelty + mutational load	ne_star	2003-10-01	-1.244
HI antigenic novelty + mutational load	cTiter_x	2004-04-01	1.204
HI antigenic novelty + mutational load	ne_star	2004-04-01	-1.701
HI antigenic novelty + mutational load	cTiter_x	2004-10-01	1.174
HI antigenic novelty + mutational load	ne_star	2004-10-01	-1.712
HI antigenic novelty + mutational load	cTiter_x	2005-04-01	1.077
HI antigenic novelty + mutational load	ne_star	2005-04-01	-1.682
HI antigenic novelty + mutational load	cTiter_x	2005-10-01	1.037
HI antigenic novelty + mutational load	ne_star	2005-10-01	-1.48
HI antigenic novelty + mutational load	cTiter_x	2006-04-01	1.015
HI antigenic novelty + mutational load	ne_star	2006-04-01	-1.325
HI antigenic novelty + mutational load	cTiter_x	2006-10-01	1.019
HI antigenic novelty + mutational load	ne_star	2006-10-01	-1.325
HI antigenic novelty + mutational load	cTiter_x	2007-04-01	1.02
HI antigenic novelty + mutational load	ne_star	2007-04-01	-1.296
HI antigenic novelty + mutational load	cTiter_x	2007-10-01	0.996
HI antigenic novelty + mutational load	ne_star	2007-10-01	-1.202
HI antigenic novelty + mutational load	cTiter_x	2008-04-01	1.044
HI antigenic novelty + mutational load	ne_star	2008-04-01	-0.952
HI antigenic novelty + mutational load	cTiter_x	2008-10-01	1.06
HI antigenic novelty + mutational load	ne_star	2008-10-01	-0.956
HI antigenic novelty + mutational load	cTiter_x	2009-04-01	1.042
HI antigenic novelty + mutational load	ne_star	2009-04-01	-0.975
HI antigenic novelty + mutational load	cTiter_x	2009-10-01	0.777
HI antigenic novelty + mutational load	ne_star	2009-10-01	-1.042
HI antigenic novelty + mutational load	cTiter_x	2010-04-01	0.986
HI antigenic novelty + mutational load	ne_star	2010-04-01	-0.917
HI antigenic novelty + mutational load	cTiter_x	2010-10-01	0.956
HI antigenic novelty + mutational load	ne_star	2010-10-01	-0.916
HI antigenic novelty + mutational load	cTiter_x	2011-04-01	0.946
HI antigenic novelty + mutational load	ne_star	2011-04-01	-0.949
HI antigenic novelty + mutational load	cTiter_x	2011-10-01	0.534
HI antigenic novelty + mutational load	ne_star	2011-10-01	-0.708
HI antigenic novelty + mutational load	cTiter_x	2012-04-01	0.581
HI antigenic novelty + mutational load	ne_star	2012-04-01	-0.566
HI antigenic novelty + mutational load	cTiter_x	2012-10-01	0.664
HI antigenic novelty + mutational load	ne_star	2012-10-01	-0.505
HI antigenic novelty + mutational load	cTiter_x	2013-04-01	0.612
HI antigenic novelty + mutational load	ne_star	2013-04-01	-0.476
HI antigenic novelty + mutational load	cTiter_x	2013-10-01	0.548
HI antigenic novelty + mutational load	ne_star	2013-10-01	-0.445
HI antigenic novelty + mutational load	cTiter_x	2014-04-01	0.563
HI antigenic novelty + mutational load	ne_star	2014-04-01	-0.404
HI antigenic novelty + mutational load	cTiter_x	2014-10-01	0.516
HI antigenic novelty + mutational load	ne_star	2014-10-01	-0.394
HI antigenic novelty + mutational load + LBI	cTiter_x	2003-10-01	1.116
HI antigenic novelty + mutational load + LBI	ne_star	2003-10-01	-1.207
HI antigenic novelty + mutational load + LBI	lbi	2003-10-01	-0.294
HI antigenic novelty + mutational load + LBI	cTiter_x	2004-04-01	1.276
HI antigenic novelty + mutational load + LBI	ne_star	2004-04-01	-1.759
HI antigenic novelty + mutational load + LBI	lbi	2004-04-01	-0.204
HI antigenic novelty + mutational load + LBI	cTiter_x	2004-10-01	1.246
HI antigenic novelty + mutational load + LBI	ne_star	2004-10-01	-1.681
HI antigenic novelty + mutational load + LBI	lbi	2004-10-01	-0.196
HI antigenic novelty + mutational load + LBI	cTiter_x	2005-04-01	1.052
HI antigenic novelty + mutational load + LBI	ne_star	2005-04-01	-1.662
HI antigenic novelty + mutational load + LBI	lbi	2005-04-01	0.004
HI antigenic novelty + mutational load + LBI	cTiter_x	2005-10-01	1.027
HI antigenic novelty + mutational load + LBI	ne_star	2005-10-01	-1.578
HI antigenic novelty + mutational load + LBI	lbi	2005-10-01	0.049
HI antigenic novelty + mutational load + LBI	cTiter_x	2006-04-01	1.014
HI antigenic novelty + mutational load + LBI	ne_star	2006-04-01	-1.324
HI antigenic novelty + mutational load + LBI	lbi	2006-04-01	0.008
HI antigenic novelty + mutational load + LBI	cTiter_x	2006-10-01	0.996
HI antigenic novelty + mutational load + LBI	ne_star	2006-10-01	-1.336
HI antigenic novelty + mutational load + LBI	lbi	2006-10-01	0.044
HI antigenic novelty + mutational load + LBI	cTiter_x	2007-04-01	0.999
HI antigenic novelty + mutational load + LBI	ne_star	2007-04-01	-1.298
HI antigenic novelty + mutational load + LBI	lbi	2007-04-01	0.024
HI antigenic novelty + mutational load + LBI	cTiter_x	2007-10-01	1.006
HI antigenic novelty + mutational load + LBI	ne_star	2007-10-01	-1.226
HI antigenic novelty + mutational load + LBI	lbi	2007-10-01	-0.024
HI antigenic novelty + mutational load + LBI	cTiter_x	2008-04-01	1.058
HI antigenic novelty + mutational load + LBI	ne_star	2008-04-01	-0.947
HI antigenic novelty + mutational load + LBI	lbi	2008-04-01	-0.006
